rain[mm] temperature[°C] irradiance[mümol/s/m2] day_length[h] PET[mm] CO2[ppm]
1.68614351423457e-05 9.24046897888184 539 12.5578406450268 12 393.42
0 11.143217086792 539 12.6154954201024 12 393.42
0.000495982414577156 10.7185297012329 539 12.6730882289621 12 393.42
0 10.5059547424316 539 12.7306127662723 12 393.42
1.68614351423457e-05 10.9183664321899 873 12.7880626046383 12 393.42
1.68614351423457e-05 11.6404066085815 873 12.8454311782815 12 393.42
0 10.962456703186 873 12.9027117668015 12 393.42
0 12.2061910629272 873 12.9598974790268 12 393.42
0.298385322093964 12.2069139480591 873 13.0169812369586 12 393.42
0 9.48428916931152 873 13.0739557598146 12 393.42
0 10.6807508468628 873 13.1308135481808 12 393.42
1.68614351423457e-05 6.30174875259399 873 13.1875468682831 12 393.42
0.0229189489036798 8.35410499572754 873 13.2441477363886 12 393.42
1.64173328876495 10.7183351516724 873 13.3006079033538 12 393.42
0.105245247483253 10.79212474823 873 13.356918839335 12 393.42
5.46636486053467 8.78848171234131 873 13.4130717186818 12 393.42
0.712097346782684 8.38018131256104 873 13.4690574050343 12 393.42
3.84287166595459 6.90377759933472 873 13.5248664366509 12 393.42
0.998217523097992 1.52383399009705 873 13.580489011994 12 393.42
0 4.15243625640869 873 13.6359149756046 12 393.42
0.611307859420776 12.1281929016113 873 13.6911338043005 12 393.42
2.51815700531006 6.00429201126099 873 13.7461345937367 12 393.42
5.88497066497803 5.96976089477539 873 13.8009060453685 12 393.42
0 7.34812307357788 873 13.855436453863 12 393.42
0 7.95291996002197 873 13.9097136950078 12 393.42
2.63030123710632 7.3433666229248 873 13.9637252141692 12 393.42
0.518028318881989 5.73609685897827 873 14.017458015357 12 393.42
0 6.21296501159668 873 14.0708986509559 12 393.42
0.680819869041443 6.18437194824219 873 14.1240332121882 12 393.42
1.70302021503448 8.37083148956299 873 14.1768473203764 12 393.42
1.62345767021179 6.72426509857178 873 14.229326119077 12 393.42
2.6439483165741 8.81959438323975 873 14.2814542671631 12 393.42
0.858561456203461 6.55784606933594 873 14.3332159329339 12 393.42
7.85773754119873 8.03163146972656 873 14.3845947893358 12 393.42
4.69365072250366 6.49751949310303 880 14.4355740103809 12 393.42
0.0183090213686228 11.2950811386108 880 14.4861362688527 12 393.42
0 15.7426490783691 880 14.5362637353919 12 393.42
0 15.9942016601562 880 14.5859380790557 12 393.42
0 22.236722946167 880 14.6351404694494 12 393.42
0 20.9705142974854 880 14.6838515805257 12 393.42
0 17.0150318145752 880 14.7320515961523 12 393.42
0 14.9105949401855 880 14.7797202175458 12 393.42
0 14.6951036453247 880 14.8268366726694 12 393.42
0 14.2367658615112 880 14.873379727692 12 393.42
2.15032839775085 15.1222801208496 880 14.9193277006016 12 393.42
14.3385028839111 11.9525680541992 880 14.9646584770641 12 393.42
1.69528460502625 10.7549800872803 880 15.0093495286125 12 393.42
0.399570316076279 11.4524192810059 880 15.0533779332477 12 393.42
0.7344069480896 14.0364904403687 880 15.0967203985218 12 393.42
1.39585602283478 14.6114501953125 880 15.1393532871704 12 393.42
0 19.2064380645752 880 15.1812526453475 12 393.42
4.45916700363159 21.8232326507568 880 15.2223942335061 12 393.42
10.9335947036743 11.8296318054199 880 15.2627535599561 12 393.42
0 9.73373985290527 880 15.3023059171143 12 393.42
0 10.3105773925781 880 15.3410264204496 12 393.42
0.276855617761612 9.70633220672607 880 15.3788900501047 12 393.42
2.9063618183136 6.36271619796753 880 15.4158716951597 12 393.42
0.328056573867798 9.1193733215332 880 15.451946200484 12 393.42
0.00376103539019823 11.7018413543701 880 15.4870884160974 12 393.42
0 17.1126842498779 880 15.5212732489441 12 393.42
0 18.0424633026123 880 15.5544757169565 12 393.42
9.15862083435059 16.0196399688721 880 15.5866710052616 12 393.42
0.823587477207184 15.7496099472046 880 15.6178345243611 12 393.42
6.2090163230896 16.8393611907959 880 15.6479419700873 12 393.42
0 17.5574798583984 880 15.6769693851152 12 393.42
0 18.3205108642578 887 15.7048932217841 12 393.42
0 17.3302726745605 887 15.7316904059603 12 393.42
0 15.9274587631226 887 15.7573384016467 12 393.42
0 17.6367321014404 887 15.7818152760261 12 393.42
0.0101277073845267 18.8595638275146 887 15.8050997646045 12 393.42
0.566060245037079 17.9436416625977 887 15.8271713361008 12 393.42
1.68761444091797 18.310489654541 887 15.8480102567176 12 393.42
1.74224925041199 15.507791519165 887 15.8675976534137 12 393.42
0 18.7742404937744 887 15.8859155757905 12 393.42
23.6493225097656 16.0096092224121 887 15.9029470561977 12 393.42
4.88655853271484 13.197301864624 887 15.9186761676668 12 393.42
0 12.2163496017456 887 15.9330880792764 12 393.42
0.863050282001495 13.7509860992432 887 15.9461691085687 12 393.42
36.7841949462891 18.1953773498535 887 15.95790677064 12 393.42
14.8318672180176 14.6124086380005 887 15.9682898235497 12 393.42
7.74380683898926 14.6932888031006 887 15.9773083097094 12 393.42
3.2513120174408 12.9995212554932 887 15.9849535929383 12 393.42
1.2274341583252 14.4338932037354 887 15.9912183909005 12 393.42
15.7562303543091 11.4129886627197 887 15.9960968026714 12 393.42
0.35772106051445 12.9810810089111 887 15.9995843312153 12 393.42
0.000278512627119198 14.8488025665283 887 16.0016779005955 12 393.42
0.000673654838465154 19.6702823638916 887 16.0023758677788 12 393.42
0 22.5749397277832 887 16.0016780289394 12 393.42
0 19.8759136199951 887 15.9995856202106 12 393.42
0.78953629732132 22.1565933227539 887 15.996101312879 12 393.42
0.149202719330788 22.0972461700439 887 15.9912292030586 12 393.42
5.36912107467651 19.4646549224854 887 15.9849747959296 12 393.42
2.65886616706848 19.6639995574951 887 15.9773449846669 12 393.42
0 17.7500610351562 887 15.9683480242274 12 393.42
0 18.2935981750488 887 15.9579935002024 12 393.42
9.13938236236572 18.3210163116455 884 15.9462922929793 12 393.42
7.95748090744019 16.2325782775879 884 15.9332565374891 12 393.42
0.0239636618643999 17.1335353851318 884 15.9188995788447 12 393.42
0 20.8238410949707 884 15.903235924204 12 393.42
1.54610633850098 22.1110763549805 884 15.8862811912082 12 393.42
0 25.2736167907715 884 15.8680520533665 12 393.42
3.10523295402527 24.3074913024902 884 15.8485661827693 12 393.42
5.96315908432007 17.7188625335693 884 15.8278421905212 12 393.42
3.43377995491028 17.3147888183594 884 15.8058995652863 12 393.42
0.734131634235382 17.776834487915 884 15.7827586103433 12 393.42
3.05148220062256 19.5946407318115 884 15.7584403795368 12 393.42
7.27766513824463 19.5315322875977 884 15.7329666125088 12 393.42
6.65330791473389 17.979564666748 884 15.7063596695815 12 393.42
0 19.450403213501 884 15.6786424666453 12 393.42
0 20.0168628692627 884 15.649838410394 12 393.42
0.107907064259052 20.3176193237305 884 15.6199713342247 12 393.42
4.40668630599976 19.0554504394531 884 15.5890654351032 12 393.42
0.0111581841483712 17.8361797332764 884 15.5571452116687 12 393.42
0.200909316539764 15.8262968063354 884 15.5242354038313 12 393.42
8.80337142944336 16.4183578491211 884 15.4903609340888 12 393.42
0 18.3057270050049 884 15.4555468507665 12 393.42
1.11005103588104 14.7479009628296 884 15.4198182733549 12 393.42
0 15.4557209014893 884 15.383200340101 12 393.42
0 18.4020290374756 884 15.3457181579777 12 393.42
0.00565352430567145 20.7570514678955 884 15.307396755139 12 393.42
0.00148260896094143 19.711576461792 884 15.26826103594 12 393.42
9.96823215484619 15.9018468856812 884 15.2283357385839 12 393.42
15.0852375030518 13.7780323028564 884 15.1876453954335 12 393.42
0 14.6355428695679 884 15.1462142960106 12 393.42
0 16.9412994384766 884 15.1040664526836 12 393.42
0 19.5007934570312 884 15.0612255690316 12 393.42
6.27712488174438 20.3897609710693 854 15.0177150108574 12 393.42
0 22.9653053283691 854 14.973557779808 12 393.42
0.0459711663424969 23.9552097320557 854 14.9287764895503 12 393.42
2.54174613952637 20.4713726043701 854 14.8833933444389 12 393.42
1.58100807666779 17.083833694458 854 14.8374301206052 12 393.42
0 17.2495803833008 854 14.7909081493889 12 393.42
0 19.4063186645508 854 14.7438483030258 12 393.42
1.1500757932663 21.9253883361816 854 14.6962709825034 12 393.42
6.89081239700317 22.1530265808105 854 14.6481961074897 12 393.42
0 20.2634677886963 854 14.5996431082387 12 393.42
2.85489535331726 20.7493896484375 854 14.550630919375 12 393.42
0.347952753305435 20.740047454834 854 14.5011779754579 12 393.42
9.40175819396973 16.665678024292 854 14.4513022082252 12 393.42
0.00255692983046174 17.3177280426025 854 14.4010210454194 12 393.42
